article_id,title,description,content,author,source_name,source_id,url,url_to_image,published_at,created_at,publication_date,title_length,relevance_score
https://www.globalresearch.ca/russia-china-arctic-alliance/5888440,Russia-China Arctic Alliance Challenges West in Resource-rich High North,"The Arctic is now in the spotlight. A recent BBC report tells how China, describing itself as a “near-Arctic state”, and facing rejections in Europe, is deepening ties with Russia, which “controls a whopping half of the Arctic shoreline”, and …
The post Russi…","The Arctic is now in the spotlight. A recent BBC report tells how China, describing itself as a near-Arctic state, and facing rejections in Europe, is deepening ties with Russia, which controls a who… [+6869 chars]",Uriel Araujo,Globalresearch.ca,,https://www.globalresearch.ca/russia-china-arctic-alliance/5888440,https://www.globalresearch.ca/wp-content/uploads/2024/11/northern-sea-route-arctic-region.jpeg,2025-05-27 14:04:21,2025-06-06 13:41:19,2025-05-27,72,5
https://www.globalresearch.ca/russia-china-arctic-alliance/5888440,Russia-China Arctic Alliance Challenges West in Resource-rich High North,"The Arctic is now in the spotlight. A recent BBC report tells how China, describing itself as a “near-Arctic state”, and facing rejections in Europe, is deepening ties with Russia, which “controls a whopping half of the Arctic shoreline”, and …
The post Russi…","The Arctic is now in the spotlight. A recent BBC report tells how China, describing itself as a near-Arctic state, and facing rejections in Europe, is deepening ties with Russia, which controls a who… [+6869 chars]",Uriel Araujo,Globalresearch.ca,,https://www.globalresearch.ca/russia-china-arctic-alliance/5888440,https://www.globalresearch.ca/wp-content/uploads/2024/11/northern-sea-route-arctic-region.jpeg,2025-05-27 14:04:21,2025-06-06 13:41:19,2025-05-27,72,5
https://www.globalresearch.ca/russia-china-arctic-alliance/5888440,Russia-China Arctic Alliance Challenges West in Resource-rich High North,"The Arctic is now in the spotlight. A recent BBC report tells how China, describing itself as a “near-Arctic state”, and facing rejections in Europe, is deepening ties with Russia, which “controls a whopping half of the Arctic shoreline”, and …
The post Russi…","The Arctic is now in the spotlight. A recent BBC report tells how China, describing itself as a near-Arctic state, and facing rejections in Europe, is deepening ties with Russia, which controls a who… [+6869 chars]",Uriel Araujo,Globalresearch.ca,,https://www.globalresearch.ca/russia-china-arctic-alliance/5888440,https://www.globalresearch.ca/wp-content/uploads/2024/11/northern-sea-route-arctic-region.jpeg,2025-05-27 14:04:21,2025-06-06 13:41:18,2025-05-27,72,5
https://www.globalresearch.ca/russia-china-arctic-alliance/5888440,Russia-China Arctic Alliance Challenges West in Resource-rich High North,"The Arctic is now in the spotlight. A recent BBC report tells how China, describing itself as a “near-Arctic state”, and facing rejections in Europe, is deepening ties with Russia, which “controls a whopping half of the Arctic shoreline”, and …
The post Russi…","The Arctic is now in the spotlight. A recent BBC report tells how China, describing itself as a near-Arctic state, and facing rejections in Europe, is deepening ties with Russia, which controls a who… [+6869 chars]",Uriel Araujo,Globalresearch.ca,,https://www.globalresearch.ca/russia-china-arctic-alliance/5888440,https://www.globalresearch.ca/wp-content/uploads/2024/11/northern-sea-route-arctic-region.jpeg,2025-05-27 14:04:21,2025-06-06 13:41:18,2025-05-27,72,5
https://www.globalresearch.ca/russia-china-arctic-alliance/5888440,Russia-China Arctic Alliance Challenges West in Resource-rich High North,"The Arctic is now in the spotlight. A recent BBC report tells how China, describing itself as a “near-Arctic state”, and facing rejections in Europe, is deepening ties with Russia, which “controls a whopping half of the Arctic shoreline”, and …
The post Russi…","The Arctic is now in the spotlight. A recent BBC report tells how China, describing itself as a near-Arctic state, and facing rejections in Europe, is deepening ties with Russia, which controls a who… [+6869 chars]",Uriel Araujo,Globalresearch.ca,,https://www.globalresearch.ca/russia-china-arctic-alliance/5888440,https://www.globalresearch.ca/wp-content/uploads/2024/11/northern-sea-route-arctic-region.jpeg,2025-05-27 14:04:21,2025-06-06 13:41:18,2025-05-27,72,5
https://www.globalresearch.ca/russia-china-arctic-alliance/5888440,Russia-China Arctic Alliance Challenges West in Resource-rich High North,"The Arctic is now in the spotlight. A recent BBC report tells how China, describing itself as a “near-Arctic state”, and facing rejections in Europe, is deepening ties with Russia, which “controls a whopping half of the Arctic shoreline”, and …
The post Russi…","The Arctic is now in the spotlight. A recent BBC report tells how China, describing itself as a near-Arctic state, and facing rejections in Europe, is deepening ties with Russia, which controls a who… [+6869 chars]",Uriel Araujo,Globalresearch.ca,,https://www.globalresearch.ca/russia-china-arctic-alliance/5888440,https://www.globalresearch.ca/wp-content/uploads/2024/11/northern-sea-route-arctic-region.jpeg,2025-05-27 14:04:21,2025-06-06 13:41:17,2025-05-27,72,5
https://www.globalresearch.ca/russia-china-arctic-alliance/5888440,Russia-China Arctic Alliance Challenges West in Resource-rich High North,"The Arctic is now in the spotlight. A recent BBC report tells how China, describing itself as a “near-Arctic state”, and facing rejections in Europe, is deepening ties with Russia, which “controls a whopping half of the Arctic shoreline”, and …
The post Russi…","The Arctic is now in the spotlight. A recent BBC report tells how China, describing itself as a near-Arctic state, and facing rejections in Europe, is deepening ties with Russia, which controls a who… [+6869 chars]",Uriel Araujo,Globalresearch.ca,,https://www.globalresearch.ca/russia-china-arctic-alliance/5888440,https://www.globalresearch.ca/wp-content/uploads/2024/11/northern-sea-route-arctic-region.jpeg,2025-05-27 14:04:21,2025-06-06 13:41:16,2025-05-27,72,5
https://www.globalresearch.ca/russia-china-arctic-alliance/5888440,Russia-China Arctic Alliance Challenges West in Resource-rich High North,"The Arctic is now in the spotlight. A recent BBC report tells how China, describing itself as a “near-Arctic state”, and facing rejections in Europe, is deepening ties with Russia, which “controls a whopping half of the Arctic shoreline”, and …
The post Russi…","The Arctic is now in the spotlight. A recent BBC report tells how China, describing itself as a near-Arctic state, and facing rejections in Europe, is deepening ties with Russia, which controls a who… [+6869 chars]",Uriel Araujo,Globalresearch.ca,,https://www.globalresearch.ca/russia-china-arctic-alliance/5888440,https://www.globalresearch.ca/wp-content/uploads/2024/11/northern-sea-route-arctic-region.jpeg,2025-05-27 14:04:21,2025-06-06 13:41:16,2025-05-27,72,5
https://smallwarsjournal.com/2025/05/23/nine-critical-lessons-from-israels-october-7-war-and-what-they-mean-for-sof/,Nine Critical Lessons from Israel’s October 7 War and What They Mean for SOF,"Early on the morning of October 7, 2023, Hamas launched one of the largest and deadliest terrorist attacks in history. The attack and ensuing war between Israel and Iran’s Axis of Resistance is reshaping the Middle East. There are many lessons to be learned f…","Early on the morning of October 7, 2023, Hamas launched one of the largest and deadliest terrorist attacks in history. The attack and ensuing war between Israel and Irans Axis of Resistance is reshap… [+19080 chars]",Thomas Searle,Smallwarsjournal.com,,https://smallwarsjournal.com/2025/05/23/nine-critical-lessons-from-israels-october-7-war-and-what-they-mean-for-sof/,https://smallwarsjournal.com/wp-content/uploads/2025/05/2023-07-19T151444Z_1996768169_RC2D62AZWRPK_RTRMADP_3_ISRAEL-PALESTINIANS-GAZA-HAMAS-e1696963050652-1024x650-1.jpg,2025-05-23 06:00:42,2025-06-06 13:41:19,2025-05-23,76,0
https://smallwarsjournal.com/2025/05/23/nine-critical-lessons-from-israels-october-7-war-and-what-they-mean-for-sof/,Nine Critical Lessons from Israel’s October 7 War and What They Mean for SOF,"Early on the morning of October 7, 2023, Hamas launched one of the largest and deadliest terrorist attacks in history. The attack and ensuing war between Israel and Iran’s Axis of Resistance is reshaping the Middle East. There are many lessons to be learned f…","Early on the morning of October 7, 2023, Hamas launched one of the largest and deadliest terrorist attacks in history. The attack and ensuing war between Israel and Irans Axis of Resistance is reshap… [+19080 chars]",Thomas Searle,Smallwarsjournal.com,,https://smallwarsjournal.com/2025/05/23/nine-critical-lessons-from-israels-october-7-war-and-what-they-mean-for-sof/,https://smallwarsjournal.com/wp-content/uploads/2025/05/2023-07-19T151444Z_1996768169_RC2D62AZWRPK_RTRMADP_3_ISRAEL-PALESTINIANS-GAZA-HAMAS-e1696963050652-1024x650-1.jpg,2025-05-23 06:00:42,2025-06-06 13:41:19,2025-05-23,76,0
https://smallwarsjournal.com/2025/05/23/nine-critical-lessons-from-israels-october-7-war-and-what-they-mean-for-sof/,Nine Critical Lessons from Israel’s October 7 War and What They Mean for SOF,"Early on the morning of October 7, 2023, Hamas launched one of the largest and deadliest terrorist attacks in history. The attack and ensuing war between Israel and Iran’s Axis of Resistance is reshaping the Middle East. There are many lessons to be learned f…","Early on the morning of October 7, 2023, Hamas launched one of the largest and deadliest terrorist attacks in history. The attack and ensuing war between Israel and Irans Axis of Resistance is reshap… [+19080 chars]",Thomas Searle,Smallwarsjournal.com,,https://smallwarsjournal.com/2025/05/23/nine-critical-lessons-from-israels-october-7-war-and-what-they-mean-for-sof/,https://smallwarsjournal.com/wp-content/uploads/2025/05/2023-07-19T151444Z_1996768169_RC2D62AZWRPK_RTRMADP_3_ISRAEL-PALESTINIANS-GAZA-HAMAS-e1696963050652-1024x650-1.jpg,2025-05-23 06:00:42,2025-06-06 13:41:18,2025-05-23,76,0
https://smallwarsjournal.com/2025/05/23/nine-critical-lessons-from-israels-october-7-war-and-what-they-mean-for-sof/,Nine Critical Lessons from Israel’s October 7 War and What They Mean for SOF,"Early on the morning of October 7, 2023, Hamas launched one of the largest and deadliest terrorist attacks in history. The attack and ensuing war between Israel and Iran’s Axis of Resistance is reshaping the Middle East. There are many lessons to be learned f…","Early on the morning of October 7, 2023, Hamas launched one of the largest and deadliest terrorist attacks in history. The attack and ensuing war between Israel and Irans Axis of Resistance is reshap… [+19080 chars]",Thomas Searle,Smallwarsjournal.com,,https://smallwarsjournal.com/2025/05/23/nine-critical-lessons-from-israels-october-7-war-and-what-they-mean-for-sof/,https://smallwarsjournal.com/wp-content/uploads/2025/05/2023-07-19T151444Z_1996768169_RC2D62AZWRPK_RTRMADP_3_ISRAEL-PALESTINIANS-GAZA-HAMAS-e1696963050652-1024x650-1.jpg,2025-05-23 06:00:42,2025-06-06 13:41:18,2025-05-23,76,0
https://smallwarsjournal.com/2025/05/23/nine-critical-lessons-from-israels-october-7-war-and-what-they-mean-for-sof/,Nine Critical Lessons from Israel’s October 7 War and What They Mean for SOF,"Early on the morning of October 7, 2023, Hamas launched one of the largest and deadliest terrorist attacks in history. The attack and ensuing war between Israel and Iran’s Axis of Resistance is reshaping the Middle East. There are many lessons to be learned f…","Early on the morning of October 7, 2023, Hamas launched one of the largest and deadliest terrorist attacks in history. The attack and ensuing war between Israel and Irans Axis of Resistance is reshap… [+19080 chars]",Thomas Searle,Smallwarsjournal.com,,https://smallwarsjournal.com/2025/05/23/nine-critical-lessons-from-israels-october-7-war-and-what-they-mean-for-sof/,https://smallwarsjournal.com/wp-content/uploads/2025/05/2023-07-19T151444Z_1996768169_RC2D62AZWRPK_RTRMADP_3_ISRAEL-PALESTINIANS-GAZA-HAMAS-e1696963050652-1024x650-1.jpg,2025-05-23 06:00:42,2025-06-06 13:41:18,2025-05-23,76,0
https://smallwarsjournal.com/2025/05/23/nine-critical-lessons-from-israels-october-7-war-and-what-they-mean-for-sof/,Nine Critical Lessons from Israel’s October 7 War and What They Mean for SOF,"Early on the morning of October 7, 2023, Hamas launched one of the largest and deadliest terrorist attacks in history. The attack and ensuing war between Israel and Iran’s Axis of Resistance is reshaping the Middle East. There are many lessons to be learned f…","Early on the morning of October 7, 2023, Hamas launched one of the largest and deadliest terrorist attacks in history. The attack and ensuing war between Israel and Irans Axis of Resistance is reshap… [+19080 chars]",Thomas Searle,Smallwarsjournal.com,,https://smallwarsjournal.com/2025/05/23/nine-critical-lessons-from-israels-october-7-war-and-what-they-mean-for-sof/,https://smallwarsjournal.com/wp-content/uploads/2025/05/2023-07-19T151444Z_1996768169_RC2D62AZWRPK_RTRMADP_3_ISRAEL-PALESTINIANS-GAZA-HAMAS-e1696963050652-1024x650-1.jpg,2025-05-23 06:00:42,2025-06-06 13:41:17,2025-05-23,76,0
https://smallwarsjournal.com/2025/05/23/nine-critical-lessons-from-israels-october-7-war-and-what-they-mean-for-sof/,Nine Critical Lessons from Israel’s October 7 War and What They Mean for SOF,"Early on the morning of October 7, 2023, Hamas launched one of the largest and deadliest terrorist attacks in history. The attack and ensuing war between Israel and Iran’s Axis of Resistance is reshaping the Middle East. There are many lessons to be learned f…","Early on the morning of October 7, 2023, Hamas launched one of the largest and deadliest terrorist attacks in history. The attack and ensuing war between Israel and Irans Axis of Resistance is reshap… [+19080 chars]",Thomas Searle,Smallwarsjournal.com,,https://smallwarsjournal.com/2025/05/23/nine-critical-lessons-from-israels-october-7-war-and-what-they-mean-for-sof/,https://smallwarsjournal.com/wp-content/uploads/2025/05/2023-07-19T151444Z_1996768169_RC2D62AZWRPK_RTRMADP_3_ISRAEL-PALESTINIANS-GAZA-HAMAS-e1696963050652-1024x650-1.jpg,2025-05-23 06:00:42,2025-06-06 13:41:16,2025-05-23,76,0
https://smallwarsjournal.com/2025/05/23/nine-critical-lessons-from-israels-october-7-war-and-what-they-mean-for-sof/,Nine Critical Lessons from Israel’s October 7 War and What They Mean for SOF,"Early on the morning of October 7, 2023, Hamas launched one of the largest and deadliest terrorist attacks in history. The attack and ensuing war between Israel and Iran’s Axis of Resistance is reshaping the Middle East. There are many lessons to be learned f…","Early on the morning of October 7, 2023, Hamas launched one of the largest and deadliest terrorist attacks in history. The attack and ensuing war between Israel and Irans Axis of Resistance is reshap… [+19080 chars]",Thomas Searle,Smallwarsjournal.com,,https://smallwarsjournal.com/2025/05/23/nine-critical-lessons-from-israels-october-7-war-and-what-they-mean-for-sof/,https://smallwarsjournal.com/wp-content/uploads/2025/05/2023-07-19T151444Z_1996768169_RC2D62AZWRPK_RTRMADP_3_ISRAEL-PALESTINIANS-GAZA-HAMAS-e1696963050652-1024x650-1.jpg,2025-05-23 06:00:42,2025-06-06 13:41:16,2025-05-23,76,0
https://www.globalsecurity.org/military/library/news/2025/05/mil-250520-unnews02.htm,90 days to economic collapse: UN and experts sound alarm over security at sea,"The UN Secretary-General on Tuesday urged world powers to uphold international maritime law and overcome geopolitical rivalries, warning that growing threats are endangering global trade, marine ecosystems and international peace.","By Vibhu Mishra20 May 2025 - The UN Secretary-General on Tuesday urged world powers to uphold international maritime law and overcome geopolitical rivalries, warning that growing threats are endanger… [+4896 chars]",John Pike,Globalsecurity.org,,https://www.globalsecurity.org/military/library/news/2025/05/mil-250520-unnews02.htm,,2025-05-21 07:44:35,2025-06-06 13:41:19,2025-05-21,77,5
https://www.globalsecurity.org/military/library/news/2025/05/mil-250520-unnews02.htm,90 days to economic collapse: UN and experts sound alarm over security at sea,"The UN Secretary-General on Tuesday urged world powers to uphold international maritime law and overcome geopolitical rivalries, warning that growing threats are endangering global trade, marine ecosystems and international peace.","By Vibhu Mishra20 May 2025 - The UN Secretary-General on Tuesday urged world powers to uphold international maritime law and overcome geopolitical rivalries, warning that growing threats are endanger… [+4896 chars]",John Pike,Globalsecurity.org,,https://www.globalsecurity.org/military/library/news/2025/05/mil-250520-unnews02.htm,,2025-05-21 07:44:35,2025-06-06 13:41:19,2025-05-21,77,5
https://www.globalsecurity.org/military/library/news/2025/05/mil-250520-unnews02.htm,90 days to economic collapse: UN and experts sound alarm over security at sea,"The UN Secretary-General on Tuesday urged world powers to uphold international maritime law and overcome geopolitical rivalries, warning that growing threats are endangering global trade, marine ecosystems and international peace.","By Vibhu Mishra20 May 2025 - The UN Secretary-General on Tuesday urged world powers to uphold international maritime law and overcome geopolitical rivalries, warning that growing threats are endanger… [+4896 chars]",John Pike,Globalsecurity.org,,https://www.globalsecurity.org/military/library/news/2025/05/mil-250520-unnews02.htm,,2025-05-21 07:44:35,2025-06-06 13:41:18,2025-05-21,77,5
https://www.globalsecurity.org/military/library/news/2025/05/mil-250520-unnews02.htm,90 days to economic collapse: UN and experts sound alarm over security at sea,"The UN Secretary-General on Tuesday urged world powers to uphold international maritime law and overcome geopolitical rivalries, warning that growing threats are endangering global trade, marine ecosystems and international peace.","By Vibhu Mishra20 May 2025 - The UN Secretary-General on Tuesday urged world powers to uphold international maritime law and overcome geopolitical rivalries, warning that growing threats are endanger… [+4896 chars]",John Pike,Globalsecurity.org,,https://www.globalsecurity.org/military/library/news/2025/05/mil-250520-unnews02.htm,,2025-05-21 07:44:35,2025-06-06 13:41:18,2025-05-21,77,5
https://www.globalsecurity.org/military/library/news/2025/05/mil-250520-unnews02.htm,90 days to economic collapse: UN and experts sound alarm over security at sea,"The UN Secretary-General on Tuesday urged world powers to uphold international maritime law and overcome geopolitical rivalries, warning that growing threats are endangering global trade, marine ecosystems and international peace.","By Vibhu Mishra20 May 2025 - The UN Secretary-General on Tuesday urged world powers to uphold international maritime law and overcome geopolitical rivalries, warning that growing threats are endanger… [+4896 chars]",John Pike,Globalsecurity.org,,https://www.globalsecurity.org/military/library/news/2025/05/mil-250520-unnews02.htm,,2025-05-21 07:44:35,2025-06-06 13:41:18,2025-05-21,77,5
https://www.globalsecurity.org/military/library/news/2025/05/mil-250520-unnews02.htm,90 days to economic collapse: UN and experts sound alarm over security at sea,"The UN Secretary-General on Tuesday urged world powers to uphold international maritime law and overcome geopolitical rivalries, warning that growing threats are endangering global trade, marine ecosystems and international peace.","By Vibhu Mishra20 May 2025 - The UN Secretary-General on Tuesday urged world powers to uphold international maritime law and overcome geopolitical rivalries, warning that growing threats are endanger… [+4896 chars]",John Pike,Globalsecurity.org,,https://www.globalsecurity.org/military/library/news/2025/05/mil-250520-unnews02.htm,,2025-05-21 07:44:35,2025-06-06 13:41:17,2025-05-21,77,5
